Day,Churned customers
1/1/2021,5757881
2/1/2021,5760714
3/1/2021,5765953
4/1/2021,5761176
5/1/2021,5755861
6/1/2021,5755042
7/1/2021,5754193
8/1/2021,5750366
9/1/2021,5753587
10/1/2021,5761309
11/1/2021,5756831
12/1/2021,5750699
13/1/2021,5750720
14/1/2021,5750200
15/1/2021,5746485
16/1/2021,5750480
17/1/2021,5757977
18/1/2021,5753889
19/1/2021,5746257
20/1/2021,5745407
21/1/2021,5743727
22/1/2021,5739528
23/1/2021,5743485
24/1/2021,5749776
25/1/2021,5742838
26/1/2021,5732563
27/1/2021,5731613
28/1/2021,5729160
29/1/2021,5723850
30/1/2021,5727637
31/1/2021,5733283
1/2/2021,5725573
2/2/2021,5715521
3/2/2021,5713610
4/2/2021,5710559
5/2/2021,5704612
6/2/2021,5708300
7/2/2021,5713698
8/2/2021,5710496
9/2/2021,5701098
10/2/2021,5699233
11/2/2021,5695094
12/2/2021,5687671
13/2/2021,5695652
14/2/2021,5704877
15/2/2021,5702208
16/2/2021,5696146
17/2/2021,5696859
18/2/2021,5697695
19/2/2021,5696306
20/2/2021,5702215
21/2/2021,5710712
22/2/2021,5707715
23/2/2021,5699616
24/2/2021,5699376
25/2/2021,5698928
26/2/2021,5696018
27/2/2021,5703802
28/2/2021,5714472
1/3/2021,5711525
2/3/2021,5703403
3/3/2021,5704465
4/3/2021,5706320
5/3/2021,5705298
6/3/2021,5711649
7/3/2021,5721348
8/3/2021,5718510
9/3/2021,5711318
10/3/2021,5712655
11/3/2021,5712813
12/3/2021,5710827
13/3/2021,5716558
14/3/2021,5720186
15/3/2021,5709491
16/3/2021,5700482
17/3/2021,5699704
18/3/2021,5699331
19/3/2021,5694646
20/3/2021,5696765
21/3/2021,5697374
22/3/2021,5688570
23/3/2021,5678548
24/3/2021,5675755
25/3/2021,5672241
26/3/2021,5664820
27/3/2021,5670468
28/3/2021,5674717
29/3/2021,5661180
30/3/2021,5647449
31/3/2021,5647481
1/4/2021,5645681
2/4/2021,5643106
3/4/2021,5655797
4/4/2021,5668011
5/4/2021,5656739
6/4/2021,5648643
7/4/2021,5649267
8/4/2021,5649785
9/4/2021,5653105
10/4/2021,5660392
11/4/2021,5667073
12/4/2021,5660039
13/4/2021,5657033
14/4/2021,5657942
15/4/2021,5659000
16/4/2021,5658512
17/4/2021,5669324
18/4/2021,5686762
19/4/2021,5685838
20/4/2021,5681351
21/4/2021,5680238
22/4/2021,5684405
23/4/2021,5687181
24/4/2021,5702129
25/4/2021,5715067
26/4/2021,5709591
27/4/2021,5703856
28/4/2021,5707566
29/4/2021,5710475
30/4/2021,5712752
1/5/2021,5726930
2/5/2021,5738676
3/5/2021,5729751
4/5/2021,5719956
5/5/2021,5716162
6/5/2021,5719136
7/5/2021,5723109
8/5/2021,5730696
9/5/2021,5739062
10/5/2021,5736046
11/5/2021,5731223
12/5/2021,5735976
13/5/2021,5740300
14/5/2021,5742325
15/5/2021,5755225
16/5/2021,5770346
17/5/2021,5766687
18/5/2021,5762270
19/5/2021,5766736
20/5/2021,5771202
21/5/2021,5772673
22/5/2021,5786746
23/5/2021,5800964
24/5/2021,5802059
25/5/2021,5798367
26/5/2021,5795035
27/5/2021,5797971
28/5/2021,5796948
29/5/2021,5808029
30/5/2021,5814844
31/5/2021,5809187
1/6/2021,5803141
2/6/2021,5807220
3/6/2021,5810035
4/6/2021,5810906
5/6/2021,5823719
6/6/2021,5835987
7/6/2021,5832623
8/6/2021,5826759
9/6/2021,5828539
10/6/2021,5831794
11/6/2021,5832928
12/6/2021,5845459
13/6/2021,5855375
14/6/2021,5851726
15/6/2021,5845148
16/6/2021,5848297
17/6/2021,5851140
18/6/2021,5850481
19/6/2021,5861017
20/6/2021,5870259
21/6/2021,5874757
22/6/2021,5867471
23/6/2021,5870428
24/6/2021,5873515
25/6/2021,5875255
26/6/2021,5887053
27/6/2021,5900187
28/6/2021,5899040
29/6/2021,5890763
30/6/2021,5894854
1/7/2021,5897837
2/7/2021,5899041
3/7/2021,5910736
4/7/2021,5922987
5/7/2021,5923128
6/7/2021,5917919
7/7/2021,5920862
8/7/2021,5923922
9/7/2021,5925352
10/7/2021,5935958
11/7/2021,5945002
12/7/2021,5943168
13/7/2021,5937625
14/7/2021,5940537
15/7/2021,5943587
16/7/2021,5943958
17/7/2021,5953612
18/7/2021,5963178
19/7/2021,5962622
20/7/2021,5956000
21/7/2021,5958211
22/7/2021,5960413
23/7/2021,5960588
24/7/2021,5967776
25/7/2021,5978175
26/7/2021,5976559
27/7/2021,5968070
28/7/2021,5969026
29/7/2021,5968227
30/7/2021,5965890
31/7/2021,5975934
1/8/2021,5988184
2/8/2021,5987188
3/8/2021,5978283
4/8/2021,5982585
5/8/2021,5979401
6/8/2021,5978330
7/8/2021,5992365
8/8/2021,5991343
9/8/2021,5985034
10/8/2021,5975088
11/8/2021,5980598
12/8/2021,5982263
13/8/2021,5980034
14/8/2021,5995835
15/8/2021,6001395
16/8/2021,5998832
17/8/2021,5991511
18/8/2021,5995017
19/8/2021,5997174
20/8/2021,6004436
21/8/2021,6014757
22/8/2021,6024798
23/8/2021,6026712
24/8/2021,6018209
25/8/2021,6018909
26/8/2021,6022232
27/8/2021,6028554
28/8/2021,6044224
29/8/2021,6058490
30/8/2021,6060411
31/8/2021,6064654
1/9/2021,6067645
2/9/2021,6072328
3/9/2021,6074832
4/9/2021,6082231
5/9/2021,6096329
6/9/2021,6090888
7/9/2021,6086146
8/9/2021,6086905
9/9/2021,6090396
10/9/2021,6089446
11/9/2021,6101746
12/9/2021,6114675
13/9/2021,6112940
14/9/2021,6106148
15/9/2021,6108980
16/9/2021,6110814
17/9/2021,6116720
18/9/2021,6122900
19/9/2021,6134048
20/9/2021,6130187
21/9/2021,6121440
22/9/2021,6123145
23/9/2021,6124500
24/9/2021,6125235
25/9/2021,6139760
26/9/2021,6152559
27/9/2021,6145356
28/9/2021,6134780
29/9/2021,6134981
30/9/2021,6137382
1/10/2021,6143812
2/10/2021,6152989
3/10/2021,6174938
4/10/2021,6167360
5/10/2021,6156293
6/10/2021,6161074
7/10/2021,6163058
8/10/2021,6166432
9/10/2021,6181662
10/10/2021,6191455
11/10/2021,6184102
12/10/2021,6175600
13/10/2021,6177854
14/10/2021,6178823
15/10/2021,6185502
16/10/2021,6203621
17/10/2021,6220008
18/10/2021,6216071
19/10/2021,6211069
20/10/2021,6219034
21/10/2021,6224102
22/10/2021,6229930
23/10/2021,6249751
24/10/2021,6268678
25/10/2021,6266648
26/10/2021,6260465
27/10/2021,6268097
28/10/2021,6276383
29/10/2021,6287778
30/10/2021,6308014
31/10/2021,6324613
1/11/2021,6324009
2/11/2021,6322086
3/11/2021,6329021
4/11/2021,6338735
5/11/2021,6347020
6/11/2021,6365358
7/11/2021,6382139
8/11/2021,6373853
9/11/2021,6370771
10/11/2021,6379848
11/11/2021,6386426
12/11/2021,6393888
13/11/2021,6415367
14/11/2021,6434910
15/11/2021,6432149
16/11/2021,6429006
17/11/2021,6432689
18/11/2021,6438992
19/11/2021,6443051
20/11/2021,6463873
21/11/2021,6485366
22/11/2021,6483168
23/11/2021,6480551
24/11/2021,6489305
25/11/2021,6495234
26/11/2021,6502317
27/11/2021,6523262
28/11/2021,6539046
29/11/2021,6532786
30/11/2021,6529223
1/12/2021,6535036
2/12/2021,6539754
3/12/2021,6547223
4/12/2021,6566711
5/12/2021,6576888
6/12/2021,6577599
7/12/2021,6573323
8/12/2021,6578548
9/12/2021,6583130
10/12/2021,6600044
11/12/2021,6618195
12/12/2021,6627250
13/12/2021,6629818
14/12/2021,6622755
15/12/2021,6633144
16/12/2021,6640518
17/12/2021,6649443
18/12/2021,6671188
19/12/2021,6680187
20/12/2021,6684142
21/12/2021,6684912
22/12/2021,6691329
23/12/2021,6699914
24/12/2021,6723487
25/12/2021,6712051
26/12/2021,6716135
27/12/2021,6720708
28/12/2021,6722661
29/12/2021,6728341
30/12/2021,6727680
31/12/2021,6752641
1/1/2022,6766325
2/1/2022,6772930
3/1/2022,6775888
4/1/2022,6775667
5/1/2022,6782447
6/1/2022,6788690
7/1/2022,6795887
8/1/2022,6815168
9/1/2022,6831443
10/1/2022,6828322
11/1/2022,6828284
12/1/2022,6834726
13/1/2022,6838467
14/1/2022,6848926
15/1/2022,6868812
16/1/2022,6885521
17/1/2022,6881948
18/1/2022,6881091
19/1/2022,6888115
20/1/2022,6895314
21/1/2022,6902321
22/1/2022,6921473
23/1/2022,6937679
24/1/2022,6935228
25/1/2022,7022358
26/1/2022,7031053
27/1/2022,6949382
28/1/2022,6960495
29/1/2022,6983407
30/1/2022,7001880
31/1/2022,6997981
1/2/2022,6992511
2/2/2022,7000312
3/2/2022,7009621
4/2/2022,7017706
5/2/2022,7038144
6/2/2022,7055038
7/2/2022,7051604
8/2/2022,7047408
9/2/2022,7054897
10/2/2022,7062566
11/2/2022,7072106
12/2/2022,7094289
13/2/2022,7105326
14/2/2022,7113785
15/2/2022,7109596
16/2/2022,7114772
17/2/2022,7119399
18/2/2022,7125388
19/2/2022,7141662
20/2/2022,7156300
21/2/2022,7151113
22/2/2022,7147496
23/2/2022,7153460
24/2/2022,7160664
25/2/2022,7169590
26/2/2022,7191534
27/2/2022,7208814
28/2/2022,7205468
1/3/2022,7202016
2/3/2022,7207848
3/3/2022,7213713
4/3/2022,7220384
5/3/2022,7238917
6/3/2022,7255331
7/3/2022,7251391
8/3/2022,7248282
9/3/2022,7252581
10/3/2022,7258978
11/3/2022,7265255
12/3/2022,7283224
13/3/2022,7300058
14/3/2022,7308371
15/3/2022,7306667
16/3/2022,7312624
17/3/2022,7317390
18/3/2022,7324237
19/3/2022,7345363
20/3/2022,7365438
21/3/2022,7366905
22/3/2022,7366016
23/3/2022,7373094
24/3/2022,7377658
25/3/2022,7390530
26/3/2022,7417154
27/3/2022,7436241
28/3/2022,7431063
29/3/2022,7437009
30/3/2022,7442334
31/3/2022,7450566
1/4/2022,7470161
2/4/2022,7488613
3/4/2022,7490517
4/4/2022,7487498
5/4/2022,7497703
6/4/2022,7509580
7/4/2022,7513362
8/4/2022,7518591
9/4/2022,7533239
10/4/2022,7558110
11/4/2022,7557770
12/4/2022,7560171
13/4/2022,7560249
14/4/2022,7562776
15/4/2022,7566140
16/4/2022,7589018
17/4/2022,7595158
18/4/2022,7588350
19/4/2022,7589544
20/4/2022,7589511
21/4/2022,7594003
22/4/2022,7597356
23/4/2022,7603952
24/4/2022,7615121
25/4/2022,7612527
26/4/2022,7609826
27/4/2022,7614870
28/4/2022,7617877
29/4/2022,7626658
30/4/2022,7635492
1/5/2022,7647935
2/5/2022,7655812
3/5/2022,7665928
4/5/2022,7670495
5/5/2022,7673880
6/5/2022,7682081
7/5/2022,7695479
8/5/2022,7710410
9/5/2022,7711802
10/5/2022,7709251
11/5/2022,7729540
12/5/2022,7732739
13/5/2022,7736702
14/5/2022,7756293
15/5/2022,7771056
16/5/2022,7771176
17/5/2022,7769402
18/5/2022,7773371
19/5/2022,7775453
20/5/2022,7783658
21/5/2022,7794307
22/5/2022,7805479
23/5/2022,7805916
24/5/2022,7802010
25/5/2022,7805959
26/5/2022,7806539
27/5/2022,7814929
28/5/2022,7824999
29/5/2022,7837120
30/5/2022,7849358
31/5/2022,7854526
1/6/2022,7859734
2/6/2022,7862509
3/6/2022,7871704
4/6/2022,7887419
5/6/2022,7888579
6/6/2022,7886721
7/6/2022,7884624
8/6/2022,7888059
9/6/2022,7890603
10/6/2022,7891436
11/6/2022,7903675
12/6/2022,7912188
13/6/2022,7914696
14/6/2022,7914374
15/6/2022,7920009
16/6/2022,7924000
17/6/2022,7926666
18/6/2022,7947855
19/6/2022,7966525
20/6/2022,7967098
21/6/2022,7964720
22/6/2022,7969413
23/6/2022,7973987
24/6/2022,7977585
25/6/2022,7994563
26/6/2022,8009058
27/6/2022,8012150
28/6/2022,8011842
29/6/2022,8025185
30/6/2022,8030973
1/7/2022,8033750
2/7/2022,8058274
3/7/2022,8069219
4/7/2022,8077943
5/7/2022,8073562
6/7/2022,8081625
7/7/2022,8091765
8/7/2022,8097691
9/7/2022,8113708
10/7/2022,8127108
11/7/2022,8138929
12/7/2022,8150293
13/7/2022,8152574
14/7/2022,8157804
15/7/2022,8168509
16/7/2022,8177369
17/7/2022,8189586
18/7/2022,8194680
19/7/2022,8198134
20/7/2022,8202278
21/7/2022,8209425
22/7/2022,8215523
23/7/2022,8231786
24/7/2022,8245580
25/7/2022,8251477
26/7/2022,8254138
27/7/2022,8258865
28/7/2022,8267827
29/7/2022,8274097
30/7/2022,8294607
31/7/2022,8308104
1/8/2022,8314513
2/8/2022,8314338
3/8/2022,8322831
4/8/2022,8328985
5/8/2022,8337133
6/8/2022,8353820
7/8/2022,8370839
8/8/2022,8379559
9/8/2022,8385126
10/8/2022,8391030
11/8/2022,8398569
12/8/2022,8405799
13/8/2022,8429260
14/8/2022,8436516
15/8/2022,8442860
16/8/2022,8443695
17/8/2022,8452804
18/8/2022,8459878
19/8/2022,8464980
20/8/2022,8484514
21/8/2022,8492282
22/8/2022,8497521
23/8/2022,8497971
24/8/2022,8506684
25/8/2022,8511597
26/8/2022,8517306
27/8/2022,8531411
28/8/2022,8541595
29/8/2022,8545846
30/8/2022,8553978
31/8/2022,8556129
1/9/2022,8566341
2/9/2022,8565458
3/9/2022,8580753
4/9/2022,8596043
5/9/2022,8597642
6/9/2022,8595143
7/9/2022,8601606
8/9/2022,8607017
9/9/2022,8618043
10/9/2022,8635357
11/9/2022,8640549
12/9/2022,8642962
13/9/2022,8640213
14/9/2022,8647639
15/9/2022,8655196
16/9/2022,8653718
17/9/2022,8667725
18/9/2022,8679800
19/9/2022,8679506
20/9/2022,8676900
21/9/2022,8685824
22/9/2022,8687493
23/9/2022,8696787
24/9/2022,8705059
25/9/2022,8718493
26/9/2022,8720334
27/9/2022,8714721
28/9/2022,8722448
29/9/2022,8726393
30/9/2022,8737452
1/10/2022,8742937
2/10/2022,8766197
3/10/2022,8756062
4/10/2022,8751862
5/10/2022,8757066
6/10/2022,8760976
7/10/2022,8762244
8/10/2022,8776131
9/10/2022,8792959
10/10/2022,8784887
11/10/2022,8781133
12/10/2022,8785790
13/10/2022,8791560
14/10/2022,8788339
15/10/2022,8800768
16/10/2022,8817054
17/10/2022,8806927
18/10/2022,8797342
19/10/2022,8805626
20/10/2022,8804855
21/10/2022,8805091
22/10/2022,8828840
23/10/2022,8826958
24/10/2022,8821364
25/10/2022,8817964
26/10/2022,8824340
27/10/2022,8831343
28/10/2022,8828483
29/10/2022,8850094
30/10/2022,8853747
31/10/2022,8854181